Año,Mes,Día,productType,cloudCover,origin,tileId,datastripId,orbitNumber,processingDate,productGroupId,processingLevel,processorVersion,platformShortName,instrumentShortName,relativeOrbitNumber,platformSerialIdentifier,datetime,Nubosidad_Bins,Satelite
2022,10,5,S2MSI1C,33.7618322434232,ESA,17MRM,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[33, 34)",Desconocido
2022,10,5,S2MSI1C,43.0445519424289,ESA,18LTQ,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[43, 44)",Desconocido
2022,10,5,S2MSI1C,21.424756992897,ESA,17MQM,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[21, 22)",Desconocido
2022,10,5,S2MSI1C,26.4485950610648,ESA,17LRL,No disponible,38060,2022-10-05T20:09:31.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[26, 27)",Desconocido
2022,10,5,S2MSI2A,26.202849,ESA,17LRK,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[26, 27)",Desconocido
2022,10,5,S2MSI2A,53.607959,ESA,17LQL,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[53, 54)",Desconocido
2022,10,5,S2MSI2A,31.881803,ESA,17LRL,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[31, 32)",Desconocido
2022,10,5,S2MSI2A,48.711085,ESA,18LTQ,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[48, 49)",Desconocido
2022,10,5,S2MSI2A,18.374294,ESA,18LTP,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[18, 19)",Desconocido
2022,10,5,S2MSI2A,33.683318,ESA,17MQM,No disponible,38060,2022-10-05T21:18:48.000000+00:00,GS2A_20221005T152651_038060_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-05,"[33, 34)",Desconocido
